"ID"	"MN"	"H"	"C"	"O"	"N"	"S"	"P"	"Na"	"ME"	"Scores"	"NBP"	"Peptide"	"KEGG"
"12357"	"428.084932"	"20"	"12"	"11"	"4"	"1"	"0"	"0"	"429.0919637"	"-1.366019895"	"0"	"No Peptide Found"	"Non metabolites found"
"12358"	"428.085799"	"24"	"13"	"6"	"4"	"3"	"0"	"0"	"429.0931967"	"0.831391115"	"1"	"T1C3"	"Non metabolites found"
"12359"	"428.087922"	"21"	"11"	"8"	"6"	"1"	"1"	"0"	"429.0949809"	"-0.069067673"	"0"	"No Peptide Found"	"Non metabolites found"
"12361"	"428.090608"	"25"	"15"	"10"	"0"	"1"	"1"	"0"	"429.098665"	"-0.035692326"	"0"	"No Peptide Found"	"Non metabolites found"
"12362"	"428.091944"	"21"	"16"	"6"	"4"	"1"	"1"	"0"	"429.0994708"	"-0.140833306"	"0"	"No Peptide Found"	"Non metabolites found"
"12363"	"428.094448"	"21"	"12"	"11"	"4"	"0"	"1"	"0"	"429.1016343"	"0.659187813"	"0"	"No Peptide Found"	"Non metabolites found"
"12364"	"428.095315"	"25"	"13"	"6"	"4"	"2"	"1"	"0"	"429.1024247"	"-0.594862121"	"0"	"No Peptide Found"	"Non metabolites found"
"12365"	"428.097819"	"25"	"9"	"11"	"4"	"1"	"1"	"0"	"429.1054097"	"-0.473379945"	"0"	"No Peptide Found"	"Non metabolites found"
"12366"	"428.098851"	"24"	"15"	"12"	"0"	"1"	"0"	"0"	"429.106415"	"-0.18403396"	"0"	"No Peptide Found"	"Non metabolites found"
"12367"	"428.100187"	"20"	"16"	"8"	"4"	"1"	"0"	"0"	"429.107335"	"0.252459663"	"0"	"No Peptide Found"	"Non metabolites found"
"12368"	"428.101841"	"25"	"14"	"9"	"2"	"1"	"1"	"0"	"429.1092218"	"-1.242589585"	"0"	"No Peptide Found"	"Non metabolites found"
"12369"	"428.103558"	"24"	"13"	"8"	"4"	"2"	"0"	"0"	"429.110965"	"0.450951124"	"0"	"No Peptide Found"	"Non metabolites found"
"12370"	"428.104894"	"20"	"14"	"4"	"8"	"2"	"0"	"0"	"429.1119779"	"-0.245911575"	"0"	"No Peptide Found"	"Non metabolites found"
"12371"	"428.105681"	"21"	"11"	"10"	"6"	"0"	"1"	"0"	"429.1131583"	"-0.817593085"	"0"	"No Peptide Found"	"Non metabolites found"
