ID	Mass	x11_06_2016_QC_GA2_01_484_csv	x11_06_2016_QC_GA2_01_485_csv	x11_06_2016_QC_GA2_01_490_csv	x11_06_2016_QC_GA2_01_491_csv	x11_06_2016_QC_GA2_01_492_csv	x11_06_2016_QC_GA2_01_493_csv	x11_06_2016_QC_GA2_01_494_csv	x11_06_2016_QC_GA2_01_500_csv	x11_06_2016_QC_GA2_01_512_csv	x11_06_2016_QC_GA2_01_518_csv
581	274.153101777778	1860548	1827721	1731367.1	1744710	1762001.3	1734405	1720875.1	1790969	0	1742985
582	274.152924	0	0	0	0	1134027.1	1136260	0	0	0	0
583	275.163614	1319266	1310184	1319516.5	1303728	1258696.8	1218821	1281973.3	1281458	1263304.9	1274203
584	276.024624	0	0	0	0	0	0	0	0	192444.6	0
585	276.052368444444	348428	0	300373.9	363463	303569.9	312699	343056.1	370559	392314.8	332191
586	276.147566857143	87388	165362	110534.6	0	109702.7	100112	105405.4	0	213159.9	0
587	276.151574	0	126365	130753	0	0	130205	0	0	108703.4	0
588	278.040451272727	396967	406506	314753.5	0	603582.6	609502	320279	0	325748.1	624980
589	278.063954	804897	768320	910548.7	851195	919093.1	829890	856791.8	893029	887096.3	884463
590	278.089757333333	0	79751	86472.3	79875	94314.5	92794	88788.2	73992	89736.1	104812
591	278.127790666667	0	172380	0	0	129698	135534	0	0	0	0
592	278.163254	532882	660140	585833.9	616642	579640.2	634409	559849.3	619825	593802.2	638655
593	278.163234	1728939	1952420	1789312.8	1853117	1808099.5	1888623	1838932.8	1943055	1862869.8	1906754
594	278.163449	0	0	0	0	0	0	1391253	1507691	1484505.6	1509815
595	280.070974	0	0	0	78043	0	71128	0	0	0	0
596	280.106074	222957	241259	215303.4	201786	185912.1	161477	146095.5	201417	158747	206714
597	280.106224	72843	100196	0	0	0	0	0	0	0	0
598	280.106157333333	151756	165536	147010.7	0	0	0	0	0	0	0
599	280.142546222222	1469599	1569549	0	1435594	1636792.3	1429605	1473883.9	1442944	1493891.3	1464520
600	281.112584	2038445	2085458	2042287.9	2051563	1988290.5	2038753	2043647.9	2090787	2097453.8	2113368
601	281.174157333333	0	0	225475.2	236562	253038	0	268383.6	246230	265966.3	0
602	283.930735111111	636360	578210	640357.1	577288	525419.8	510699	504981.8	486631	0	455448
603	284.046849	542804	585144	530024.7	548565	0	0	493909	535961	506971.9	495617
604	284.110924	0	0	628502.8	0	639893.4	581619	614644.9	641764	605457.5	600589
605	284.127354	295398	302227	305277.5	284349	286959.7	293313	303850.3	308407	294665.8	303980
606	285.169024	115316	0	124306.8	0	0	119402	0	0	123876.8	0
607	285.168901777778	257614	307545	239585.6	243638	275976.6	242224	175062.8	253256	220322.7	0
608	286.045354	2517095	2653745	2429862.8	2363715	2252532.5	2336925	2337255.8	2385842	2362189.5	2355780
609	286.153149	0	1238365	0	0	1222805.8	0	0	1273474	1281421.4	0
610	286.153164	2396742	2599330	2411251.8	2450852	2474862.8	2518117	2558059.5	2635824	2621460.3	2597658
611	287.184584	950039	951110	835325	779334	847452.9	797927	864024.8	873245	763161.7	744768
612	287.184604	475410	499618	452741.3	429529	412860.7	434447	441664.3	448400	452301	443248
613	287.184694	1893454	2095694	1798987.4	1906101	1851065	1901301	1997322.9	1933853	1944537.9	1938920
614	287.195807333333	0	360323	424410.9	0	419199.8	419373	420987.1	417183	0	0
615	287.221084	382307	408409	378392.4	389762	386998.4	394535	402345.9	390738	418865.8	388095
616	288.041764	2692096	2894963	2525201	2596080	2648521.3	2723335	2709828.3	2654299	2681888	2631876
617	288.084735111111	130580	133970	135694.9	121688	133450.4	133852	136238	0	131373.5	125135
618	288.082324	0	0	106159.4	203225	202337.3	196914	170899.5	184865	192727.3	208212
619	288.168768444444	1566444	1608322	1463087.1	0	1484577.3	1527980	1521735.8	1485948	1475295	1446061
620	288.168657333333	0	0	1072912.4	0	0	0	0	0	927342.3	941733
621	289.153224	0	0	0	0	0	0	0	860696	0	0
622	289.163924	202923	0	0	0	0	0	0	0	0	0
623	289.175824	0	0	59712	0	0	0	0	0	0	0
624	290.040584	199757	0	274220.8	0	263239.1	0	258750.6	279054	0	0
625	290.044074	282208	0	0	180562	162973.5	0	0	0	0	121541
626	290.044407333333	0	234209	232386.2	0	0	160382	152386.3	140056	129141.3	0
627	290.079164	444508	486120	454394.2	472245	479569.2	512342	497338.1	501036	498205.5	492172
628	290.079074	0	0	0	0	91646.3	83312	94281.5	91321	94496.9	89811
629	290.090424	111225	120532	111696.3	98616	0	0	116668.1	117040	124819.5	125462
630	290.166668444444	128820	105732	125469.1	109054	112059.4	108295	125558.7	101651	115620.3	0
631	290.163924	559724	618555	662180.7	644848	542828.3	660347	541472.9	0	605707.2	0
632	291.016424	0	0	77676.6	0	0	0	0	0	0	0
633	292.024214	193599	209528	167440.5	175318	180322.3	187686	196139.2	178622	164093.2	153056
