ID	Mass	RT
2995	146,062324	1,1609
2996	146,062824	1,6411
2999	146,067224	1,2621
3001	146,068824	2,1034
3004	146,069424	8,4764
3008	146,071724	5,2605
3010	146,072524	4,3334
3011	146,072724	6,1741
3012	146,072724	6,363
3014	146,074324	1,0575
3022	146,105224	3,5799
3023	146,105624	1,2606
3024	146,105724	4,3977
3025	146,105824	3,6706
3027	146,107824	1,1531
3033	146,109924	5,2572
3041	146,991224	7,183
3043	147,036524	3,5688
3045	147,040624	1,2592
3049	147,041124	4,4517
3050	147,041124	5,9027
3053	147,041624	4,8929
3055	147,042424	4,6374
3056	147,042924	1,1642
3057	147,051524	1,5476
3060	147,052624	2,73
3062	147,053324	3,828
3065	147,054324	1,0793
3067	147,054724	9,2815
3075	147,058324	1,2597
3078	147,063224	4,7583
3082	147,068824	5,7786
3088	147,088124	4,7949
3089	147,088624	2,1083
3107	148,016224	7,928
3108	148,016324	4,7494
3110	148,017724	6,4986
3111	148,037824	1,5476
3112	148,040724	1,2466
3113	148,047224	4,4567
3117	148,053124	2,5963
3120	148,054324	4,8325
3123	148,065924	4,4184
3124	148,066424	5,0399
3126	148,067724	5,3367
3132	148,088624	5,2601
3133	148,088724	6,3543
3135	148,088924	8,8628
3137	148,089024	6,1559
3138	148,089124	4,6963
3140	148,089224	5,1885
3143	148,089524	8,676
3144	148,089624	8,3492
3154	149,020324	4,748
3157	149,047924	3,5768
3158	149,048924	1,2322
3163	149,051724	4,0338
3164	149,051924	5,1067
3165	149,052224	4,126
3169	149,055024	4,3792
3171	149,059524	5,5066
3174	149,071224	1,1311
3175	149,074224	4,3677
3179	149,092424	5,256
3181	149,092624	6,157
3182	149,092624	8,8678
3183	149,092824	6,3574
3191	150,032224	4,5378
3192	150,032324	5,1675
3197	150,065924	3,5979
3198	150,067224	5,5063
3199	150,067424	7,0002
3204	150,068324	4,4124
3205	150,068624	6,2182
3206	150,068724	5,8069
3214	150,103324	6,3571
3220	150,140824	5,2551
3223	151,004724	1,2128
3227	151,048924	1,453
3226	151,048924	1,5636
3229	151,049624	2,2158
3230	151,049724	2,3166
3231	151,050024	2,1442
3233	151,050124	1,2623
3234	151,050424	1,1638
3235	151,050724	1,8804
3237	151,063424	4,1385
3239	151,063724	4,9013
3251	152,010424	7,1229
3255	152,011224	6,5011
3258	152,011624	5,351
3262	152,033124	1,2571
3263	152,033824	1,4058
3264	152,034224	1,9094
3270	152,047824	6,3571
3274	152,048224	6,1574
3277	152,050724	4,757
3278	152,053024	1,5519
3282	152,066124	4,8142
3284	152,068224	1,1108
3285	152,068224	1,2207
3292	152,084124	5,6725
3293	152,084324	7,2242
3294	152,084324	8,3554
3296	152,120024	6,7358
3297	152,120324	11,5037
3306	152,993024	3,1739
3310	153,036024	1,4085
3311	153,037624	1,2594
3315	153,042624	1,1799
3317	153,042924	2,7356
3325	153,058224	5,3392
3326	153,058324	5,065
3328	153,079224	3,984
3335	154,034524	1,1726
3349	154,070624	4,4969
3350	154,072324	4,1778
3351	154,074024	3,1589
3353	154,075124	1,2576
3359	154,110824	6,0291
3361	154,134724	4,9805
3362	154,136324	11,0287
3367	154,968124	6,9376
3373	154,968924	2,1138
3378	155,004824	8,2169
3380	155,060424	1,4386
3381	155,061024	1,266
3386	155,069624	8,2173
3390	155,070224	7,2619
3395	155,072624	1,1989
3397	155,073224	3,6752
3403	155,093424	1,172
3414	155,973724	1,5602
3416	155,986424	4,8049
3422	156,000124	3,6732
3428	156,006224	1,174
3429	156,006224	1,2509
3430	156,006224	3,7719
3434	156,041624	1,1473
3438	156,042324	3,7038
3439	156,042324	6,3534
